138a0000-138a0fff : tpdm-base
138b0000-138b0fff : tpdm-base
138c0000-138c0fff : tpdm-base
138e0000-138e0fff : cti@138e0000
138f0000-138f0fff : cti@138f0000
13900000-13900fff : cti@13900000
15000000-150fffff : 15000000.apps-smmu base
151ce000-151ce01f : 15000000.apps-smmu tcu-base
151d1000-151d1fff : 151d1000.anoc_1_tbu base
151d5000-151d5fff : 151d5000.anoc_2_tbu base
151d9000-151d9fff : 151d9000.cam_0_tbu base
151dd000-151ddfff : 151dd000.cam_1_tbu base
151e1000-151e1fff : 151e1000.compute_1_tbu base
151e5000-151e5fff : 151e5000.compute_0_tbu base
151e9000-151e9fff : 151e9000.lpass_tbu base
151f1000-151f1fff : 151f1000.sf_0_tbu base
151f5000-151f5fff : 151f5000.sf_1_tbu base
151f9000-151f9fff : 151f9000.mdp_0_tbu base
151fd000-151fdfff : 151fd000.mdp_1_tbu base
17421000-17421fff : arch_mem_timer
17a20000-17a2ffff : 17a00000.rsc drv-2
17d09400-17d097ff : 17d09400.sram sram@17D09400
17d09804-17d09807 : 17d91000.qcom,cpufreq-hw pdmem-domain0
17d09808-17d0980b : 17d91000.qcom,cpufreq-hw pdmem-domain1
17d0980c-17d0980f : 17d91000.qcom,cpufreq-hw pdmem-domain2
17d91000-17d91fff : 17d91000.qcom,cpufreq-hw freq-domain0
17d92000-17d92fff : 17d91000.qcom,cpufreq-hw freq-domain1
17d93000-17d93fff : 17d91000.qcom,cpufreq-hw freq-domain2
19095000-190952ff : 19095000.llcc-pmu lagg-base
19100000-191bb7ff : 19100000.interconnect interconnect@19100000
19200000-1977ffff : 19200000.cache-controller llcc_base
19a00000-19a7ffff : 19200000.cache-controller llcc_broadcast_base
320c0000-320cffff : 320c0000.interconnect interconnect@320C0000
60200000-63ffffff : qcom,pcie@1c00000
  60200000-603fffff : PCI Bus 0000:01
    60200000-603fffff : 0000:01:00.0
      60200000-603fffff : cnss
  60400000-605fffff : PCI Bus 0000:01
  60600000-60600fff : 0000:00:00.0
80000000-808f3fff : reserved
808f4000-808fffff : System RAM
80900000-851fffff : reserved
85200000-856fffff : System RAM
85700000-87efffff : reserved
87f00000-87ffffff : System RAM
88000000-8b91bfff : reserved
8b91c000-8b9fffff : System RAM
8ba00000-a03fffff : reserved
a0400000-a6dfffff : System RAM
a6e00000-a6e3ffff : reserved
a6e40000-a6efffff : System RAM
a6f00000-a6ffffff : reserved
a7000000-e87fffff : System RAM
  a8080000-ab36ffff : Kernel code
  ab370000-ab9cffff : reserved
  ab9d0000-ac8fffff : Kernel data
  affff000-afffffff : reserved
  b717f000-b721efff : reserved
  b7380000-baafffff : reserved
  db000000-e87fffff : reserved
e8800000-e9ffffff : reserved
f1400000-ffffffff : System RAM
  f4400000-ffbfffff : reserved
  ffd00000-ffdbffff : reserved
  ffffe000-ffffefff : reserved
800000000-8382fffff : System RAM
840000000-b7fffffff : System RAM
  b6aaf8000-b7c3fffff : reserved
  b7c4b7000-b7c4b7fff : reserved
  b7c4b8000-b7c4b9fff : reserved
  b7c4ba000-b7c4bafff : reserved
  b7c4bb000-b7c4cafff : reserved
  b7c4cb000-b7c4ccfff : reserved
  b7c4cd000-b7c4eefff : reserved
  b7c4ef000-b7fffffff : reserved
